battery_id,run_id,seed,round,vio1,vio2,d_vio,ice1,ice2,d_ice,d_contested,d_shared,d_stranded,craters_depleted
baseline,baseline_0,1592598566,1,0,0,0,310,230,540,0,0,0,0
baseline,baseline_0,1592598566,2,0,2,2,310,230,0,0,3,0,0
baseline,baseline_0,1592598566,3,0,6,4,310,310,80,0,3,0,0
baseline,baseline_0,1592598566,4,9,14,17,310,310,0,0,3,0,0
baseline,baseline_0,1592598566,5,52,31,60,310,310,0,0,2,0,0
baseline,baseline_0,1592598566,6,92,46,55,310,310,0,0,2,0,0
baseline,baseline_0,1592598566,7,135,63,60,310,310,0,0,3,0,0
baseline,baseline_0,1592598566,8,172,75,49,310,310,0,0,2,0,0
baseline,baseline_0,1592598566,9,196,86,35,310,310,0,0,2,0,0
baseline,baseline_0,1592598566,10,207,97,22,310,310,0,0,3,0,0
baseline,baseline_0,1592598566,11,214,104,14,310,310,0,0,2,0,0
baseline,baseline_0,1592598566,12,221,111,14,310,310,0,0,2,0,0
baseline,baseline_1,1592608539,1,0,0,0,134,230,364,0,0,0,0
baseline,baseline_1,1592608539,2,0,2,2,134,230,0,0,3,0,0
baseline,baseline_1,1592608539,3,0,6,4,134,310,80,0,3,0,0
baseline,baseline_1,1592608539,4,0,11,5,134,610,300,0,3,0,0
baseline,baseline_1,1592608539,5,0,16,5,134,610,0,0,2,0,0
baseline,baseline_1,1592608539,6,0,20,4,134,610,0,0,2,0,0
baseline,baseline_1,1592608539,7,0,25,5,134,610,0,0,3,0,0
baseline,baseline_1,1592608539,8,0,25,0,134,610,0,0,2,0,0
baseline,baseline_1,1592608539,9,0,25,0,134,690,80,0,3,0,0
baseline,baseline_1,1592608539,10,0,25,0,134,690,0,0,2,0,0
baseline,baseline_1,1592608539,11,0,25,0,134,690,0,0,3,0,0
baseline,baseline_1,1592608539,12,0,25,0,134,690,0,0,2,0,0
baseline,baseline_2,1592618512,1,0,0,0,142,118,260,0,0,0,0
baseline,baseline_2,1592618512,2,1,0,1,142,118,0,0,0,0,0
baseline,baseline_2,1592618512,3,2,0,1,142,118,0,0,5,0,0
baseline,baseline_2,1592618512,4,2,0,0,142,118,0,0,7,0,0
baseline,baseline_2,1592618512,5,3,0,1,142,118,0,0,7,0,0
