battery_id,run_id,seed,scenario,total_rounds,mission_end,arrival_delay,grid_sharing,grid_permanent,winner,score1,score2,score_gap,ice1_kg,ice2_kg,ap1,ap2,vio1,vio2,dep_blocked1,dep_blocked2,strand_risk1,strand_risk2,stranded1,stranded2,unpow_hab1,unpow_hab2,offers,joins,decouples,shared_days,contested_days,craters_depleted,duration_days,extracted_kg,extracted_pct,rovers1,rovers2,habitats1,habitats2,reactors1,reactors2,governance,strand_pen_days1,strand_pen_days2,rescues1,rescues2,strand_night,strand_far,strand_other,reserve1_kg,reserve2_kg
baseline,baseline_0,1592598566,standard,12,fixed,5,1,0,2,-4252.5,962.0,-5214.5,309.5,310.0,45,153,221,111,0,0,2,0,0,0,4,11,43,24,23,28,0,0,84,929.5,2.84,2,3,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_1,1592608539,standard,12,fixed,5,1,0,1,2299.0,1174.0,1125.0,134.0,690.0,127,44,0,25,0,33,0,0,0,0,0,17,24,23,23,28,0,0,84,904.0,2.76,2,3,1,2,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_2,1592618512,standard,12,fixed,5,1,0,1,2606.5,2133.0,473.5,221.5,118.0,171,127,19,0,0,0,0,0,0,0,0,0,11,11,11,29,0,0,84,489.5,1.50,3,2,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_3,1592628485,standard,12,fixed,5,1,0,1,2656.2,2153.6,502.6,226.2,148.6,171,127,18,0,0,0,0,2,0,0,0,0,10,10,10,30,0,0,84,604.8,1.85,3,2,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_4,1592638458,standard,12,fixed,5,1,0,1,2083.6,1175.5,908.1,148.6,389.5,127,55,0,2,0,0,2,0,0,0,0,3,1,1,0,55,0,0,84,538.1,1.64,2,2,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_5,1592648431,standard,12,fixed,5,1,0,2,791.8,1575.0,-783.2,326.8,110.0,61,155,24,51,0,0,0,0,0,0,0,0,15,15,15,34,0,0,84,666.8,2.04,2,3,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_6,1592658404,standard,12,fixed,5,1,0,1,-595.0,-1930.9,1335.9,380.0,309.1,43,45,72,121,0,0,0,0,0,0,10,0,6,6,5,62,0,0,84,929.1,2.84,3,2,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_7,1592668377,standard,12,fixed,5,1,0,1,2053.6,2020.2,33.4,148.6,115.2,127,127,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,84,263.8,0.81,2,2,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_8,1592678350,standard,12,fixed,5,1,0,2,2225.0,2724.6,-499.6,150.0,219.6,127,171,0,19,0,0,2,0,0,0,10,0,18,17,17,35,0,0,84,519.6,1.59,2,3,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_9,1592688323,standard,12,fixed,5,1,0,2,915.5,2053.0,-1137.5,309.5,150.0,47,127,6,0,0,0,0,1,0,1,3,10,1,1,0,51,0,0,84,539.5,1.65,2,2,1,1,0,0,,0,1,0,0,0,0,1,0.0,0.0
baseline,baseline_10,1592698296,standard,12,fixed,5,1,0,2,2210.2,2796.0,-585.8,115.2,226.2,127,171,0,18,0,0,1,0,0,0,0,0,17,17,16,37,0,0,84,570.9,1.74,2,3,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_11,1592708269,standard,12,fixed,5,1,0,2,2000.8,2020.8,-20.0,0.0,0.0,127,127,0,0,0,0,4,4,0,0,3,3,2,1,0,82,1,0,84,299.1,0.91,2,2,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_12,1592718242,standard,12,fixed,5,1,0,1,2050.2,1015.1,1035.1,115.2,309.1,127,47,0,2,0,0,1,1,0,0,0,3,1,1,0,55,0,0,84,504.2,1.54,2,2,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_13,1592728215,standard,12,fixed,5,1,0,2,885.1,2068.1,-1183.0,309.1,133.1,45,127,6,0,0,0,0,0,0,0,3,0,1,1,0,52,0,0,84,522.1,1.59,2,2,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_14,1592738188,standard,12,fixed,5,1,0,2,-371.1,107.1,-478.1,118.9,309.1,45,61,49,47,0,0,0,0,0,0,0,4,1,1,0,57,0,0,84,588.0,1.80,2,2,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_15,1592748161,standard,12,fixed,5,1,0,2,-371.1,119.1,-490.1,118.9,309.1,45,61,49,47,0,0,0,0,0,0,0,0,1,1,0,56,0,0,84,588.0,1.80,2,2,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_16,1592758134,standard,12,fixed,5,1,0,1,2171.6,560.0,1611.6,116.6,310.0,127,39,0,25,0,42,0,0,0,0,0,10,13,12,12,15,0,0,84,586.6,1.79,2,3,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_17,1592768107,standard,12,fixed,5,1,0,2,-795.0,-775.0,-20.0,0.0,0.0,127,127,111,111,0,0,4,4,0,0,10,10,2,1,0,82,1,0,84,300.0,0.92,2,2,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_18,1592778080,standard,12,fixed,5,1,0,2,1286.6,2054.7,-768.1,346.6,146.7,67,127,5,0,0,0,0,2,0,0,0,9,1,1,0,65,0,0,84,573.3,1.75,3,2,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_19,1592788053,standard,12,fixed,5,1,0,2,2194.5,2781.1,-586.5,149.5,221.1,127,173,0,18,0,0,0,0,0,0,10,0,17,17,17,35,0,0,84,520.6,1.59,2,3,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_20,1592798026,standard,12,fixed,5,1,0,2,2025.0,2053.6,-28.6,150.0,148.6,127,127,0,0,0,0,2,2,0,0,10,0,0,0,0,0,0,0,84,298.6,0.91,2,2,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
