
# === SESSION ===
key,value
timestamp,2026-07-02T00:49:50.023Z
version,2.7.189
round,12
day,0
globalDay,11
totalRounds,12
simMode,competitive
scenarioPreset,standard
powerGrid,independent
commsGrid,independent
daysPerRound,7

# === CONFIG_CONSTANTS ===
key,value,unit
score_pts_per_kg_ice,1,pts/kg
score_pts_per_asset_pt,15,pts/ap
score_penalty_per_violation,25,pts
score_carry_fraction,0.5,fraction
days_per_round,7,days
px_per_km,2,px/km
km_per_px,0.5,km/px
comsat_relay_radius_km,30.00,km
zone_core_km,1,km
zone_harmonization_km,5,km
zone_coordination_km,10,km
zone_display_scale,3,x
zone_core_render_km,3.00,km
zone_harmonization_render_km,15.00,km
zone_coordination_render_km,30.00,km
zone_tier_mult.core,1,xcore
zone_tier_mult.harmonization,5,xcore
zone_tier_mult.coordination,10,xcore
functional_reach.solar,2.89,km
functional_reach.habitat,14.43,km
functional_reach.pad,7.22,km
functional_reach.rover,1.44,km
functional_reach.reactor,5.78,km

# === INITIAL_CONDITIONS ===
key,value
map_width_px,1212
map_height_px,1212
km_per_px,0.5
px_per_km,2
totalRounds,12
scenarioPreset,standard
claimRadius_actorI_px,92.77777777777777
claimRadius_actorII_px,80
actorI_base_px,"553,703"
actorII_base_px,"1005,170"
actorIII_base_px,
actorI_stakeholder,Concordium
actorII_stakeholder,LRC

# === CRATERS ===
crater_idx,name,cx_px,cy_px,cx_km,cy_km,quality,size_px
0,Shoemaker,691,521,345.50,260.50,1.25,3179
1,Haworth,600,453,300.00,226.50,1.22,2980
2,Faustini,778,588,389.00,294.00,1.14,1825
3,,545,693,272.50,346.50,1.17,1224
4,,591,906,295.50,453.00,0.96,876
5,,195,314,97.50,157.00,0.91,804
6,,995,616,497.50,308.00,1.08,713
7,,931,783,465.50,391.50,1.01,708
8,,698,139,349.00,69.50,0.82,664
9,,1170,564,585.00,282.00,0.98,599
10,de Gerlache,502,608,251.00,304.00,1.14,439
11,Shackleton,623,620,311.50,310.00,1.10,423
12,Shackleton,606,606,303.00,303.00,1.09,375
13,,682,423,341.00,211.50,1.13,292
14,,716,968,358.00,484.00,1.04,277
15,,892,441,446.00,220.50,1.17,270
16,,712,653,356.00,326.50,1.16,270
17,,925,160,462.50,80.00,0.75,269
18,,359,375,179.50,187.50,1.27,201
19,,468,254,234.00,127.00,1.04,195
20,Nobile,821,423,410.50,211.50,0.94,184
21,,720,419,360.00,209.50,1.14,177
22,,640,257,320.00,128.50,1.11,175
23,,773,460,386.50,230.00,0.97,157
24,,566,151,283.00,75.50,1.01,122
25,,995,444,497.50,222.00,1.07,112
26,,387,434,193.50,217.00,1.11,111
27,,624,83,312.00,41.50,0.75,110
28,,635,1000,317.50,500.00,0.79,107
29,,498,507,249.00,253.50,1.19,106
30,,1007,546,503.50,273.00,1.02,100
31,Malapert,616,277,308.00,138.50,1.03,96
32,,1067,393,533.50,196.50,0.90,91
33,,666,178,333.00,89.00,0.81,83
34,,893,413,446.50,206.50,0.88,83
35,Sverdrup,620,682,310.00,341.00,1.14,79
36,,776,61,388.00,30.50,0.69,76
37,,1108,443,554.00,221.50,0.94,75
38,,1047,371,523.50,185.50,0.79,71
39,,251,229,125.50,114.50,0.74,61
40,,374,371,187.00,185.50,1.27,57
41,,588,139,294.00,69.50,0.91,56
42,,446,906,223.00,453.00,1.02,54
43,,812,163,406.00,81.50,1.08,52
44,,364,847,182.00,423.50,0.79,52
45,,780,662,390.00,331.00,1.14,49
46,,810,959,405.00,479.50,1.08,45
47,,134,390,67.00,195.00,0.87,39
48,,572,71,286.00,35.50,0.77,34
49,,1009,1026,504.50,513.00,1.16,34
50,,649,243,324.50,121.50,1.09,33
51,,741,680,370.50,340.00,1.14,30
52,,765,880,382.50,440.00,0.98,29
